 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\138Xe_CD2.txt

 Ion = Xenon [54] , Mass = 138 amu

 Target Density =  9.0000E-01 g/cm3 = 1.0156E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.725E-01  7.170E+00     244 A        41 A        31 A   
  11.00 keV   8.102E-01  7.394E+00     257 A        43 A        33 A   
  12.00 keV   8.462E-01  7.599E+00     270 A        45 A        34 A   
  13.00 keV   8.807E-01  7.788E+00     282 A        46 A        36 A   
  14.00 keV   9.140E-01  7.962E+00     294 A        48 A        37 A   
  15.00 keV   9.461E-01  8.125E+00     306 A        50 A        38 A   
  16.00 keV   9.771E-01  8.276E+00     317 A        51 A        40 A   
  17.00 keV   1.007E+00  8.418E+00     329 A        53 A        41 A   
  18.00 keV   1.036E+00  8.551E+00     340 A        54 A        42 A   
  20.00 keV   1.092E+00  8.795E+00     362 A        57 A        45 A   
  22.50 keV   1.159E+00  9.063E+00     388 A        60 A        48 A   
  25.00 keV   1.221E+00  9.298E+00     414 A        63 A        51 A   
  27.50 keV   1.281E+00  9.507E+00     438 A        67 A        54 A   
  30.00 keV   1.338E+00  9.694E+00     463 A        70 A        56 A   
  32.50 keV   1.393E+00  9.862E+00     487 A        72 A        59 A   
  35.00 keV   1.445E+00  1.001E+01     510 A        75 A        62 A   
  37.50 keV   1.496E+00  1.015E+01     533 A        78 A        64 A   
  40.00 keV   1.545E+00  1.028E+01     556 A        81 A        67 A   
  45.00 keV   1.639E+00  1.050E+01     600 A        86 A        72 A   
