 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\93Kr_CD2.txt

 Ion = Krypton [36] , Mass = 93 amu

 Target Density =  9.0000E-01 g/cm3 = 1.0156E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.774E-01  6.264E+00     243 A        45 A        36 A   
  11.00 keV   8.153E-01  6.410E+00     257 A        48 A        38 A   
  12.00 keV   8.516E-01  6.541E+00     272 A        50 A        40 A   
  13.00 keV   8.864E-01  6.659E+00     286 A        52 A        42 A   
  14.00 keV   9.198E-01  6.766E+00     299 A        54 A        44 A   
  15.00 keV   9.521E-01  6.863E+00     313 A        56 A        45 A   
  16.00 keV   9.833E-01  6.952E+00     326 A        58 A        47 A   
  17.00 keV   1.014E+00  7.034E+00     339 A        60 A        49 A   
  18.00 keV   1.043E+00  7.109E+00     352 A        62 A        51 A   
  20.00 keV   1.099E+00  7.242E+00     377 A        65 A        54 A   
  22.50 keV   1.166E+00  7.382E+00     408 A        70 A        58 A   
  25.00 keV   1.229E+00  7.499E+00     439 A        74 A        62 A   
  27.50 keV   1.289E+00  7.597E+00     469 A        78 A        66 A   
  30.00 keV   1.346E+00  7.680E+00     498 A        82 A        69 A   
  32.50 keV   1.401E+00  7.751E+00     527 A        86 A        73 A   
  35.00 keV   1.454E+00  7.810E+00     555 A        90 A        76 A   
  37.50 keV   1.505E+00  7.861E+00     584 A        94 A        80 A   
  40.00 keV   1.555E+00  7.903E+00     612 A        98 A        83 A   
  45.00 keV   1.649E+00  7.970E+00     667 A       105 A        90 A   
