 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 17, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\3H_Al.txt

 Ion = Helium [2] , Mass = 3 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 900.00 keV   1.189E+00  1.433E-03    2.82 um     1640 A      2146 A   
   1.00 MeV   1.151E+00  1.313E-03    3.14 um     1729 A      2244 A   
   1.10 MeV   1.114E+00  1.213E-03    3.46 um     1818 A      2344 A   
   1.20 MeV   1.079E+00  1.128E-03    3.80 um     1908 A      2444 A   
   1.30 MeV   1.045E+00  1.055E-03    4.14 um     2000 A      2547 A   
   1.40 MeV   1.013E+00  9.913E-04    4.50 um     2092 A      2652 A   
   1.50 MeV   9.836E-01  9.354E-04    4.87 um     2186 A      2758 A   
   1.60 MeV   9.554E-01  8.859E-04    5.25 um     2282 A      2868 A   
   1.70 MeV   9.288E-01  8.417E-04    5.64 um     2378 A      2979 A   
   1.80 MeV   9.037E-01  8.020E-04    6.04 um     2477 A      3094 A   
   2.00 MeV   8.576E-01  7.335E-04    6.88 um     2804 A      3330 A   
   2.25 MeV   8.067E-01  6.636E-04    7.99 um     3283 A      3640 A   
   2.50 MeV   7.621E-01  6.066E-04    9.17 um     3751 A      3966 A   
   2.75 MeV   7.228E-01  5.592E-04   10.41 um     4213 A      4310 A   
   3.00 MeV   6.878E-01  5.190E-04   11.72 um     4674 A      4669 A   
   3.25 MeV   6.564E-01  4.845E-04   13.09 um     5135 A      5045 A   
   3.50 MeV   6.282E-01  4.546E-04   14.53 um     5598 A      5437 A   
   3.75 MeV   6.027E-01  4.284E-04   16.03 um     6064 A      5844 A   
   4.00 MeV   5.794E-01  4.052E-04   17.59 um     6534 A      6266 A   
   4.50 MeV   5.386E-01  3.660E-04   20.89 um     8179 A      7155 A   
   5.00 MeV   5.040E-01  3.340E-04   24.44 um     9739 A      8102 A   
   5.50 MeV   4.742E-01  3.075E-04   28.22 um     1.13 um     9104 A   
   6.00 MeV   4.482E-01  2.851E-04   32.22 um     1.28 um     1.02 um  
   6.50 MeV   4.252E-01  2.659E-04   36.45 um     1.43 um     1.13 um  
   7.00 MeV   4.023E-01  2.492E-04   40.92 um     1.58 um     1.24 um  
   8.00 MeV   3.648E-01  2.218E-04   50.56 um     2.11 um     1.49 um  
   9.00 MeV   3.352E-01  2.000E-04   61.13 um     2.62 um     1.76 um  
  10.00 MeV   3.106E-01  1.823E-04   72.58 um     3.11 um     2.06 um  
  11.00 MeV   2.898E-01  1.677E-04   84.89 um     3.60 um     2.37 um  
  12.00 MeV   2.719E-01  1.553E-04   98.06 um     4.09 um     2.70 um  
  13.00 MeV   2.563E-01  1.447E-04  112.06 um     4.59 um     3.05 um  
  14.00 MeV   2.425E-01  1.355E-04  126.88 um     5.08 um     3.42 um  
  15.00 MeV   2.304E-01  1.275E-04  142.51 um     5.59 um     3.80 um  
  16.00 MeV   2.195E-01  1.204E-04  158.94 um     6.10 um     4.21 um  
  17.00 MeV   2.097E-01  1.141E-04  176.16 um     6.62 um     4.63 um  
  18.00 MeV   2.009E-01  1.085E-04  194.16 um     7.14 um     5.07 um  
  20.00 MeV   1.855E-01  9.881E-05  232.45 um     9.06 um     6.01 um  
  22.50 MeV   1.695E-01  8.898E-05  284.56 um    11.80 um     7.27 um  
  25.00 MeV   1.564E-01  8.101E-05  341.30 um    14.40 um     8.63 um  
  27.50 MeV   1.453E-01  7.441E-05  402.60 um    16.94 um    10.09 um  
  30.00 MeV   1.359E-01  6.885E-05  468.36 um    19.47 um    11.66 um  
  32.50 MeV   1.277E-01  6.409E-05  538.52 um    22.00 um    13.31 um  
  35.00 MeV   1.205E-01  5.998E-05  613.01 um    24.56 um    15.07 um  
  37.50 MeV   1.142E-01  5.639E-05  691.78 um    27.14 um    16.91 um  
