 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\3H_Si.txt

 Ion = Hydrogen [1] , Mass = 3 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.920E-01  1.221E-02    1812 A       795 A       719 A   
  11.00 keV   2.011E-01  1.156E-02    1972 A       831 A       759 A   
  12.00 keV   2.096E-01  1.099E-02    2129 A       863 A       798 A   
  13.00 keV   2.176E-01  1.048E-02    2282 A       893 A       834 A   
  14.00 keV   2.251E-01  1.002E-02    2433 A       921 A       868 A   
  15.00 keV   2.322E-01  9.608E-03    2581 A       947 A       900 A   
  16.00 keV   2.388E-01  9.231E-03    2727 A       971 A       931 A   
  17.00 keV   2.451E-01  8.887E-03    2870 A       994 A       961 A   
  18.00 keV   2.511E-01  8.571E-03    3012 A      1016 A       989 A   
  20.00 keV   2.625E-01  8.010E-03    3290 A      1056 A      1043 A   
  22.50 keV   2.760E-01  7.417E-03    3626 A      1101 A      1104 A   
  25.00 keV   2.890E-01  6.916E-03    3953 A      1141 A      1161 A   
  27.50 keV   3.017E-01  6.487E-03    4269 A      1176 A      1213 A   
  30.00 keV   3.142E-01  6.113E-03    4577 A      1209 A      1261 A   
  32.50 keV   3.265E-01  5.786E-03    4875 A      1238 A      1306 A   
  35.00 keV   3.385E-01  5.495E-03    5165 A      1265 A      1347 A   
  37.50 keV   3.502E-01  5.236E-03    5447 A      1289 A      1387 A   
  40.00 keV   3.615E-01  5.003E-03    5721 A      1312 A      1423 A   
  45.00 keV   3.828E-01  4.600E-03    6251 A      1353 A      1490 A   
