 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\28Mg_CD2.txt

 Ion = Magnesium [12] , Mass = 28 amu

 Target Density =  9.0000E-01 g/cm3 = 1.0156E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.602E-01  2.586E+00     369 A        99 A        76 A   
  11.00 keV   4.826E-01  2.567E+00     401 A       106 A        82 A   
  12.00 keV   5.041E-01  2.546E+00     433 A       114 A        88 A   
  13.00 keV   5.247E-01  2.524E+00     466 A       121 A        93 A   
  14.00 keV   5.445E-01  2.501E+00     498 A       129 A        99 A   
  15.00 keV   5.636E-01  2.477E+00     530 A       136 A       104 A   
  16.00 keV   5.821E-01  2.453E+00     563 A       143 A       110 A   
  17.00 keV   6.000E-01  2.429E+00     596 A       151 A       115 A   
  18.00 keV   6.174E-01  2.405E+00     629 A       158 A       121 A   
  20.00 keV   6.508E-01  2.357E+00     695 A       172 A       132 A   
  22.50 keV   6.903E-01  2.298E+00     778 A       190 A       145 A   
  25.00 keV   7.276E-01  2.242E+00     862 A       208 A       159 A   
  27.50 keV   7.631E-01  2.188E+00     947 A       225 A       172 A   
  30.00 keV   7.971E-01  2.137E+00    1032 A       242 A       186 A   
  32.50 keV   8.296E-01  2.088E+00    1119 A       259 A       199 A   
  35.00 keV   8.609E-01  2.041E+00    1205 A       276 A       212 A   
  37.50 keV   8.911E-01  1.996E+00    1293 A       293 A       226 A   
  40.00 keV   9.204E-01  1.954E+00    1381 A       310 A       239 A   
  45.00 keV   9.762E-01  1.875E+00    1559 A       342 A       266 A   
