 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\4He_Si.txt

 Ion = Helium [2] , Mass = 4 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.00 MeV   5.446E-01  4.010E-04   31.87 um     1.25 um     9960 A   
   6.50 MeV   5.182E-01  3.740E-04   35.92 um     1.39 um     1.09 um  
   7.00 MeV   4.947E-01  3.506E-04   40.16 um     1.53 um     1.20 um  
   8.00 MeV   4.545E-01  3.121E-04   49.23 um     2.02 um     1.42 um  
   9.00 MeV   4.202E-01  2.815E-04   59.07 um     2.48 um     1.65 um  
  10.00 MeV   3.883E-01  2.567E-04   69.72 um     2.94 um     1.90 um  
  11.00 MeV   3.631E-01  2.361E-04   81.18 um     3.39 um     2.17 um  
  12.00 MeV   3.413E-01  2.187E-04   93.40 um     3.83 um     2.46 um  
  13.00 MeV   3.223E-01  2.038E-04  106.37 um     4.29 um     2.76 um  
  14.00 MeV   3.055E-01  1.909E-04  120.07 um     4.74 um     3.08 um  
  15.00 MeV   2.906E-01  1.796E-04  134.51 um     5.20 um     3.41 um  
  16.00 MeV   2.773E-01  1.697E-04  149.66 um     5.67 um     3.76 um  
  17.00 MeV   2.653E-01  1.608E-04  165.52 um     6.14 um     4.12 um  
  18.00 MeV   2.544E-01  1.529E-04  182.08 um     6.62 um     4.49 um  
  20.00 MeV   2.353E-01  1.393E-04  217.26 um     8.37 um     5.29 um  
  22.50 MeV   2.155E-01  1.254E-04  265.03 um    10.86 um     6.36 um  
  25.00 MeV   1.991E-01  1.142E-04  316.95 um    13.22 um     7.52 um  
  27.50 MeV   1.853E-01  1.049E-04  372.94 um    15.52 um     8.75 um  
  30.00 MeV   1.735E-01  9.708E-05  432.94 um    17.82 um    10.07 um  
  32.50 MeV   1.632E-01  9.039E-05  496.86 um    20.11 um    11.47 um  
  35.00 MeV   1.542E-01  8.460E-05  564.66 um    22.42 um    12.94 um  
  37.50 MeV   1.463E-01  7.954E-05  636.28 um    24.75 um    14.49 um  
  40.00 MeV   1.392E-01  7.507E-05  711.68 um    27.11 um    16.11 um  
  45.00 MeV   1.271E-01  6.755E-05  873.49 um    35.77 um    19.58 um  
  50.00 MeV   1.171E-01  6.146E-05    1.05 mm    43.92 um    23.34 um  
  55.00 MeV   1.087E-01  5.642E-05    1.24 mm    51.88 um    27.37 um  
  60.00 MeV   1.016E-01  5.217E-05    1.45 mm    59.77 um    31.68 um  
  65.00 MeV   9.539E-02  4.854E-05    1.66 mm    67.67 um    36.26 um  
