 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\4He_tTi.txt

 Ion = Helium [2] , Mass = 4 amu

 Target Density =  2.2952E+00 g/cm3 = 5.4309E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    050.00    097.94   
      H      1    050.00    002.06   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.892E-01  2.973E-02    1196 A       815 A       661 A   
  11.00 keV   1.988E-01  2.861E-02    1309 A       864 A       706 A   
  12.00 keV   2.081E-01  2.759E-02    1421 A       911 A       749 A   
  13.00 keV   2.171E-01  2.665E-02    1532 A       955 A       791 A   
  14.00 keV   2.258E-01  2.578E-02    1642 A       997 A       830 A   
  15.00 keV   2.343E-01  2.499E-02    1750 A      1036 A       868 A   
  16.00 keV   2.426E-01  2.424E-02    1858 A      1074 A       905 A   
  17.00 keV   2.506E-01  2.355E-02    1964 A      1110 A       941 A   
  18.00 keV   2.584E-01  2.291E-02    2069 A      1144 A       975 A   
  20.00 keV   2.736E-01  2.174E-02    2276 A      1208 A      1040 A   
  22.50 keV   2.918E-01  2.046E-02    2529 A      1281 A      1117 A   
  25.00 keV   3.091E-01  1.935E-02    2775 A      1347 A      1187 A   
  27.50 keV   3.257E-01  1.837E-02    3015 A      1407 A      1253 A   
  30.00 keV   3.416E-01  1.750E-02    3249 A      1462 A      1315 A   
  32.50 keV   3.570E-01  1.672E-02    3477 A      1513 A      1373 A   
  35.00 keV   3.719E-01  1.602E-02    3701 A      1559 A      1428 A   
  37.50 keV   3.864E-01  1.539E-02    3919 A      1603 A      1479 A   
  40.00 keV   4.004E-01  1.481E-02    4133 A      1643 A      1528 A   
