 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 29, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\111In_CD2.txt

 Ion = Indium [49] , Mass = 111 amu

 Target Density =  9.3000E-01 g/cm3 = 1.0494E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.229E-01  7.179E+00     230 A        42 A        33 A   
  11.00 keV   5.484E-01  7.382E+00     243 A        44 A        34 A   
  12.00 keV   5.728E-01  7.568E+00     256 A        46 A        36 A   
  13.00 keV   5.962E-01  7.737E+00     268 A        48 A        38 A   
  14.00 keV   6.187E-01  7.893E+00     280 A        50 A        39 A   
  15.00 keV   6.404E-01  8.036E+00     292 A        52 A        41 A   
  16.00 keV   6.614E-01  8.170E+00     303 A        53 A        42 A   
  17.00 keV   6.818E-01  8.294E+00     315 A        55 A        44 A   
  18.00 keV   7.015E-01  8.409E+00     326 A        56 A        45 A   
  20.00 keV   7.395E-01  8.619E+00     348 A        60 A        48 A   
  22.50 keV   7.844E-01  8.847E+00     375 A        63 A        51 A   
  25.00 keV   8.268E-01  9.045E+00     401 A        67 A        55 A   
  27.50 keV   8.671E-01  9.218E+00     426 A        70 A        58 A   
  30.00 keV   9.057E-01  9.370E+00     451 A        74 A        61 A   
  32.50 keV   9.427E-01  9.505E+00     476 A        77 A        64 A   
  35.00 keV   9.783E-01  9.625E+00     500 A        80 A        67 A   
  37.50 keV   1.013E+00  9.733E+00     524 A        84 A        70 A   
  40.00 keV   1.046E+00  9.829E+00     548 A        87 A        73 A   
  45.00 keV   1.109E+00  9.994E+00     594 A        93 A        78 A   
