 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\40Ar_CD2.txt

 Ion = Argon [18] , Mass = 40 amu

 Target Density =  9.0000E-01 g/cm3 = 1.0156E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   7.00 MeV   1.944E+01  1.848E-01    7.01 um     2784 A      3358 A   
   8.00 MeV   2.126E+01  1.660E-01    7.55 um     2912 A      3450 A   
   9.00 MeV   2.290E+01  1.510E-01    8.05 um     3016 A      3527 A   
  10.00 MeV   2.436E+01  1.386E-01    8.51 um     3103 A      3592 A   
  11.00 MeV   2.566E+01  1.282E-01    8.95 um     3179 A      3648 A   
  12.00 MeV   2.680E+01  1.194E-01    9.38 um     3246 A      3698 A   
  13.00 MeV   2.781E+01  1.118E-01    9.78 um     3306 A      3742 A   
  14.00 MeV   2.869E+01  1.052E-01   10.17 um     3361 A      3782 A   
  15.00 MeV   2.947E+01  9.940E-02   10.55 um     3411 A      3818 A   
  16.00 MeV   3.014E+01  9.423E-02   10.92 um     3459 A      3851 A   
  17.00 MeV   3.073E+01  8.961E-02   11.29 um     3503 A      3882 A   
  18.00 MeV   3.124E+01  8.545E-02   11.64 um     3546 A      3911 A   
  20.00 MeV   3.204E+01  7.826E-02   12.34 um     3692 A      3964 A   
  22.50 MeV   3.272E+01  7.092E-02   13.20 um     3896 A      4023 A   
  25.00 MeV   3.311E+01  6.492E-02   14.04 um     4084 A      4076 A   
  27.50 MeV   3.328E+01  5.991E-02   14.88 um     4260 A      4125 A   
  30.00 MeV   3.328E+01  5.567E-02   15.71 um     4427 A      4170 A   
  32.50 MeV   3.316E+01  5.202E-02   16.54 um     4589 A      4213 A   
  35.00 MeV   3.295E+01  4.885E-02   17.38 um     4747 A      4254 A   
  37.50 MeV   3.268E+01  4.607E-02   18.23 um     4901 A      4293 A   
  40.00 MeV   3.235E+01  4.360E-02   19.08 um     5053 A      4331 A   
  45.00 MeV   3.160E+01  3.943E-02   20.82 um     5628 A      4405 A   
  50.00 MeV   3.079E+01  3.603E-02   22.59 um     6175 A      4476 A   
  55.00 MeV   2.997E+01  3.320E-02   24.42 um     6702 A      4546 A   
  60.00 MeV   2.916E+01  3.081E-02   26.30 um     7217 A      4615 A   
  65.00 MeV   2.837E+01  2.876E-02   28.23 um     7724 A      4685 A   
  70.00 MeV   2.761E+01  2.698E-02   30.21 um     8226 A      4755 A   
  80.00 MeV   2.620E+01  2.403E-02   34.34 um     1.01 um     4897 A   
  90.00 MeV   2.552E+01  2.170E-02   38.63 um     1.18 um     5042 A   
 100.00 MeV   2.453E+01  1.980E-02   43.07 um     1.34 um     5191 A   
 110.00 MeV   2.350E+01  1.822E-02   47.70 um     1.49 um     5344 A   
 120.00 MeV   2.259E+01  1.689E-02   52.52 um     1.64 um     5503 A   
 130.00 MeV   2.178E+01  1.575E-02   57.52 um     1.79 um     5669 A   
 140.00 MeV   2.104E+01  1.476E-02   62.71 um     1.93 um     5841 A   
 150.00 MeV   2.038E+01  1.389E-02   68.07 um     2.08 um     6019 A   
 160.00 MeV   1.978E+01  1.313E-02   73.61 um     2.22 um     6204 A   
 170.00 MeV   1.922E+01  1.245E-02   79.30 um     2.36 um     6394 A   
 180.00 MeV   1.871E+01  1.184E-02   85.16 um     2.51 um     6591 A   
 200.00 MeV   1.780E+01  1.079E-02   97.33 um     3.04 um     7004 A   
 225.00 MeV   1.681E+01  9.724E-03  113.39 um     3.80 um     7552 A   
 250.00 MeV   1.595E+01  8.860E-03  130.36 um     4.49 um     8135 A   
 275.00 MeV   1.519E+01  8.143E-03  148.20 um     5.16 um     8751 A   
 300.00 MeV   1.451E+01  7.539E-03  166.91 um     5.80 um     9399 A   
 325.00 MeV   1.389E+01  7.022E-03  186.48 um     6.43 um     1.01 um  
 350.00 MeV   1.332E+01  6.575E-03  206.90 um     7.05 um     1.08 um  
 375.00 MeV   1.280E+01  6.183E-03  228.16 um     7.66 um     1.15 um  
 400.00 MeV   1.232E+01  5.838E-03  250.27 um     8.28 um     1.23 um  
 450.00 MeV   1.146E+01  5.256E-03  297.03 um    10.60 um     1.39 um  
 500.00 MeV   1.070E+01  4.785E-03  347.21 um    12.76 um     1.56 um  
 550.00 MeV   1.003E+01  4.394E-03  400.85 um    14.85 um     1.75 um  
