 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 13, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_C.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.00 MeV   6.163E-02  3.126E-05  246.05 um    10.28 um     7.05 um  
   6.50 MeV   5.786E-02  2.910E-05  283.15 um    11.64 um     8.07 um  
   7.00 MeV   5.456E-02  2.723E-05  322.58 um    13.01 um     9.14 um  
   8.00 MeV   4.907E-02  2.416E-05  408.23 um    17.97 um    11.46 um  
   9.00 MeV   4.466E-02  2.173E-05  502.90 um    22.62 um    14.01 um  
  10.00 MeV   4.104E-02  1.977E-05  606.42 um    27.17 um    16.78 um  
  11.00 MeV   3.801E-02  1.814E-05  718.62 um    31.70 um    19.76 um  
  12.00 MeV   3.543E-02  1.678E-05  839.38 um    36.28 um    22.96 um  
  13.00 MeV   3.321E-02  1.561E-05  968.57 um    40.90 um    26.37 um  
  14.00 MeV   3.128E-02  1.460E-05    1.11 mm    45.60 um    29.98 um  
  15.00 MeV   2.958E-02  1.372E-05    1.25 mm    50.38 um    33.80 um  
  16.00 MeV   2.807E-02  1.294E-05    1.41 mm    55.23 um    37.82 um  
  17.00 MeV   2.672E-02  1.225E-05    1.57 mm    60.17 um    42.03 um  
  18.00 MeV   2.551E-02  1.163E-05    1.74 mm    65.19 um    46.44 um  
  20.00 MeV   2.341E-02  1.057E-05    2.10 mm    83.72 um    55.83 um  
  22.50 MeV   2.128E-02  9.501E-06    2.60 mm   110.22 um    68.62 um  
