 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Uranium in  H- C.txt

 Ion = Uranium [92] , Mass = 233 amu

 Target Density =  9.3000E-01 g/cm3 = 1.1979E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   9.00 MeV   2.568E+01  1.054E+01    2.82 um     1522 A      1457 A   
  10.00 MeV   2.640E+01  9.982E+00    3.11 um     1643 A      1573 A   
  11.00 MeV   2.701E+01  9.489E+00    3.41 um     1755 A      1685 A   
  12.00 MeV   2.753E+01  9.050E+00    3.70 um     1861 A      1794 A   
  13.00 MeV   2.799E+01  8.655E+00    3.99 um     1961 A      1899 A   
  14.00 MeV   2.842E+01  8.300E+00    4.28 um     2056 A      2002 A   
  15.00 MeV   2.883E+01  7.976E+00    4.57 um     2147 A      2103 A   
  16.00 MeV   2.924E+01  7.681E+00    4.87 um     2234 A      2201 A   
  17.00 MeV   2.965E+01  7.410E+00    5.15 um     2318 A      2296 A   
  18.00 MeV   3.008E+01  7.161E+00    5.44 um     2398 A      2389 A   
  20.00 MeV   3.102E+01  6.716E+00    6.01 um     2612 A      2569 A   
  22.50 MeV   3.236E+01  6.242E+00    6.72 um     2885 A      2781 A   
  25.00 MeV   3.393E+01  5.839E+00    7.40 um     3123 A      2979 A   
  27.50 MeV   3.572E+01  5.491E+00    8.06 um     3332 A      3163 A   
  30.00 MeV   3.771E+01  5.188E+00    8.70 um     3516 A      3334 A   
  32.50 MeV   3.989E+01  4.920E+00    9.31 um     3679 A      3491 A   
  35.00 MeV   4.223E+01  4.683E+00    9.90 um     3822 A      3635 A   
  37.50 MeV   4.471E+01  4.470E+00   10.45 um     3950 A      3768 A   
  40.00 MeV   4.729E+01  4.277E+00   10.99 um     4063 A      3890 A   
  45.00 MeV   5.267E+01  3.944E+00   11.98 um     4367 A      4106 A   
  50.00 MeV   5.821E+01  3.665E+00   12.89 um     4607 A      4288 A   
  55.00 MeV   6.378E+01  3.426E+00   13.72 um     4801 A      4445 A   
  60.00 MeV   6.928E+01  3.221E+00   14.49 um     4961 A      4580 A   
  65.00 MeV   7.467E+01  3.041E+00   15.20 um     5096 A      4698 A   
  70.00 MeV   7.988E+01  2.882E+00   15.87 um     5211 A      4801 A   
  80.00 MeV   8.971E+01  2.614E+00   17.10 um     5537 A      4975 A   
  90.00 MeV   9.868E+01  2.396E+00   18.21 um     5790 A      5116 A   
 100.00 MeV   1.068E+02  2.215E+00   19.23 um     5995 A      5234 A   
 110.00 MeV   1.140E+02  2.062E+00   20.18 um     6167 A      5335 A   
 120.00 MeV   1.205E+02  1.930E+00   21.09 um     6316 A      5422 A   
 130.00 MeV   1.263E+02  1.816E+00   21.94 um     6448 A      5499 A   
 140.00 MeV   1.314E+02  1.716E+00   22.77 um     6566 A      5567 A   
 150.00 MeV   1.359E+02  1.627E+00   23.56 um     6674 A      5629 A   
 160.00 MeV   1.399E+02  1.548E+00   24.33 um     6774 A      5686 A   
 170.00 MeV   1.434E+02  1.477E+00   25.08 um     6866 A      5738 A   
 180.00 MeV   1.466E+02  1.413E+00   25.82 um     6954 A      5786 A   
 200.00 MeV   1.518E+02  1.301E+00   27.24 um     7257 A      5874 A   
 225.00 MeV   1.569E+02  1.186E+00   28.97 um     7673 A      5969 A   
 250.00 MeV   1.607E+02  1.091E+00   30.65 um     8046 A      6054 A   
 275.00 MeV   1.636E+02  1.011E+00   32.30 um     8388 A      6130 A   
 300.00 MeV   1.658E+02  9.428E-01   33.92 um     8706 A      6200 A   
 325.00 MeV   1.675E+02  8.841E-01   35.52 um     9006 A      6264 A   
 350.00 MeV   1.688E+02  8.328E-01   37.11 um     9291 A      6325 A   
 375.00 MeV   1.699E+02  7.876E-01   38.69 um     9563 A      6382 A   
 400.00 MeV   1.707E+02  7.474E-01   40.26 um     9825 A      6436 A   
 450.00 MeV   1.717E+02  6.790E-01   43.39 um     1.08 um     6536 A   
 500.00 MeV   1.750E+02  6.229E-01   46.48 um     1.16 um     6629 A   
 550.00 MeV   1.777E+02  5.760E-01   49.52 um     1.24 um     6715 A   
 600.00 MeV   1.780E+02  5.361E-01   52.53 um     1.31 um     6795 A   
 650.00 MeV   1.780E+02  5.018E-01   55.54 um     1.38 um     6871 A   
 700.00 MeV   1.780E+02  4.719E-01   58.55 um     1.45 um     6945 A   
 800.00 MeV   1.779E+02  4.222E-01   64.58 um     1.68 um     7083 A   
 900.00 MeV   1.776E+02  3.826E-01   70.62 um     1.89 um     7214 A   
   1.00 GeV   1.772E+02  3.502E-01   76.67 um     2.07 um     7338 A   
   1.10 GeV   1.767E+02  3.232E-01   82.73 um     2.24 um     7458 A   
   1.20 GeV   1.761E+02  3.004E-01   88.81 um     2.40 um     7574 A   
   1.30 GeV   1.753E+02  2.807E-01   94.92 um     2.55 um     7686 A   
   1.40 GeV   1.745E+02  2.636E-01  101.06 um     2.70 um     7796 A   
   1.50 GeV   1.735E+02  2.486E-01  107.23 um     2.84 um     7905 A   
   1.60 GeV   1.724E+02  2.353E-01  113.44 um     2.97 um     8011 A   
   1.70 GeV   1.712E+02  2.235E-01  119.69 um     3.10 um     8116 A   
   1.80 GeV   1.700E+02  2.128E-01  125.99 um     3.22 um     8220 A   
   2.00 GeV   1.673E+02  1.945E-01  138.73 um     3.69 um     8427 A   
   2.25 GeV   1.636E+02  1.758E-01  154.96 um     4.35 um     8682 A   
   2.50 GeV   1.598E+02  1.605E-01  171.58 um     4.95 um     8938 A   
   2.75 GeV   1.558E+02  1.479E-01  188.60 um     5.50 um     9195 A   
   3.00 GeV   1.519E+02  1.372E-01  206.06 um     6.03 um     9454 A   
   3.25 GeV   1.481E+02  1.280E-01  223.97 um     6.54 um     9718 A   
   3.50 GeV   1.443E+02  1.200E-01  242.35 um     7.04 um     9986 A   
   3.75 GeV   1.407E+02  1.131E-01  261.20 um     7.53 um     1.03 um  
   4.00 GeV   1.372E+02  1.069E-01  280.54 um     8.01 um     1.05 um  
   4.50 GeV   1.308E+02  9.646E-02  320.65 um     9.82 um     1.11 um  
   5.00 GeV   1.252E+02  8.799E-02  362.64 um    11.47 um     1.17 um  
   5.50 GeV   1.203E+02  8.095E-02  406.44 um    13.04 um     1.23 um  
   6.00 GeV   1.161E+02  7.501E-02  451.91 um    14.54 um     1.30 um  
   6.50 GeV   1.126E+02  6.992E-02  498.92 um    15.99 um     1.36 um  
   7.00 GeV   1.097E+02  6.552E-02  547.27 um    17.39 um     1.43 um  
   8.00 GeV   1.026E+02  5.825E-02  648.63 um    22.54 um     1.58 um  
   9.00 GeV   9.649E+01  5.251E-02  756.69 um    27.23 um     1.73 um  
  10.00 GeV   9.117E+01  4.784E-02  871.32 um    31.70 um     1.89 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  9.2997E+00                 eV / Angstrom 
  9.2997E+01                keV / micron   
  9.2997E+01                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  7.7634E+00                 eV / (1E15 atoms/cm2)
  1.8017E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
