 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\70Ni_CD2.txt

 Ion = Nickel [28] , Mass = 70 amu

 Target Density =  9.0000E-01 g/cm3 = 1.0156E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.118E-01  5.530E+00     262 A        54 A        44 A   
  11.00 keV   3.270E-01  5.627E+00     280 A        57 A        47 A   
  12.00 keV   3.415E-01  5.711E+00     297 A        60 A        49 A   
  13.00 keV   3.555E-01  5.785E+00     313 A        63 A        52 A   
  14.00 keV   3.689E-01  5.850E+00     330 A        66 A        54 A   
  15.00 keV   3.819E-01  5.908E+00     346 A        69 A        57 A   
  16.00 keV   3.944E-01  5.959E+00     363 A        72 A        59 A   
  17.00 keV   4.065E-01  6.005E+00     379 A        74 A        61 A   
  18.00 keV   4.183E-01  6.046E+00     395 A        77 A        64 A   
  20.00 keV   4.409E-01  6.114E+00     426 A        82 A        68 A   
  22.50 keV   4.677E-01  6.181E+00     466 A        89 A        74 A   
  25.00 keV   4.930E-01  6.230E+00     504 A        95 A        79 A   
  27.50 keV   5.171E-01  6.267E+00     542 A       101 A        85 A   
  30.00 keV   5.400E-01  6.293E+00     581 A       107 A        90 A   
  32.50 keV   5.621E-01  6.310E+00     618 A       113 A        95 A   
  35.00 keV   5.833E-01  6.321E+00     656 A       119 A       100 A   
  37.50 keV   6.038E-01  6.326E+00     694 A       125 A       105 A   
  40.00 keV   6.236E-01  6.326E+00     731 A       131 A       110 A   
  45.00 keV   6.614E-01  6.314E+00     806 A       142 A       120 A   
