 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_tTi.txt

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  2.2952E+00 g/cm3 = 5.4309E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    050.00    097.94   
      H      1    050.00    002.06   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.231E-01  2.901E-03    1716 A       821 A       732 A   
  11.00 keV   2.331E-01  2.757E-03    1859 A       853 A       768 A   
  12.00 keV   2.426E-01  2.629E-03    1999 A       882 A       803 A   
  13.00 keV   2.515E-01  2.514E-03    2136 A       910 A       835 A   
  14.00 keV   2.600E-01  2.411E-03    2270 A       935 A       866 A   
  15.00 keV   2.681E-01  2.317E-03    2402 A       959 A       895 A   
  16.00 keV   2.757E-01  2.231E-03    2532 A       981 A       923 A   
  17.00 keV   2.830E-01  2.152E-03    2660 A      1002 A       949 A   
  18.00 keV   2.900E-01  2.080E-03    2785 A      1021 A       975 A   
  20.00 keV   3.030E-01  1.951E-03    3031 A      1058 A      1023 A   
  22.50 keV   3.177E-01  1.813E-03    3330 A      1098 A      1078 A   
  25.00 keV   3.309E-01  1.696E-03    3620 A      1135 A      1129 A   
  27.50 keV   3.428E-01  1.595E-03    3903 A      1168 A      1176 A   
  30.00 keV   3.535E-01  1.507E-03    4180 A      1198 A      1220 A   
  32.50 keV   3.632E-01  1.430E-03    4451 A      1225 A      1262 A   
  35.00 keV   3.719E-01  1.361E-03    4718 A      1251 A      1301 A   
  37.50 keV   3.797E-01  1.299E-03    4980 A      1275 A      1338 A   
  40.00 keV   3.867E-01  1.243E-03    5239 A      1297 A      1374 A   
