 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 29, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\111Sn_CD2.txt

 Ion = Tin [50] , Mass = 111 amu

 Target Density =  9.3000E-01 g/cm3 = 1.0494E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.099E-01  7.253E+00     229 A        42 A        32 A   
  11.00 keV   5.348E-01  7.460E+00     242 A        44 A        34 A   
  12.00 keV   5.585E-01  7.649E+00     254 A        46 A        36 A   
  13.00 keV   5.814E-01  7.821E+00     266 A        48 A        37 A   
  14.00 keV   6.033E-01  7.980E+00     278 A        50 A        39 A   
  15.00 keV   6.245E-01  8.127E+00     290 A        51 A        41 A   
  16.00 keV   6.450E-01  8.263E+00     301 A        53 A        42 A   
  17.00 keV   6.648E-01  8.389E+00     313 A        55 A        43 A   
  18.00 keV   6.841E-01  8.508E+00     324 A        56 A        45 A   
  20.00 keV   7.211E-01  8.722E+00     346 A        59 A        48 A   
  22.50 keV   7.648E-01  8.956E+00     372 A        63 A        51 A   
  25.00 keV   8.062E-01  9.158E+00     398 A        67 A        54 A   
  27.50 keV   8.455E-01  9.336E+00     423 A        70 A        57 A   
  30.00 keV   8.831E-01  9.492E+00     448 A        74 A        61 A   
  32.50 keV   9.192E-01  9.631E+00     472 A        77 A        64 A   
  35.00 keV   9.539E-01  9.754E+00     496 A        80 A        66 A   
  37.50 keV   9.874E-01  9.865E+00     520 A        83 A        69 A   
  40.00 keV   1.020E+00  9.965E+00     543 A        86 A        72 A   
  45.00 keV   1.082E+00  1.014E+01     589 A        92 A        78 A   
