 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\62Zn_CD2.txt

 Ion = Zinc [30] , Mass = 62 amu

 Target Density =  9.0000E-01 g/cm3 = 1.0156E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.175E-01  5.817E+00     237 A        51 A        41 A   
  11.00 keV   6.476E-01  5.916E+00     253 A        54 A        44 A   
  12.00 keV   6.764E-01  6.003E+00     268 A        57 A        46 A   
  13.00 keV   7.041E-01  6.079E+00     284 A        60 A        49 A   
  14.00 keV   7.306E-01  6.146E+00     299 A        62 A        51 A   
  15.00 keV   7.563E-01  6.205E+00     313 A        65 A        53 A   
  16.00 keV   7.811E-01  6.257E+00     328 A        67 A        55 A   
  17.00 keV   8.051E-01  6.304E+00     342 A        70 A        57 A   
  18.00 keV   8.285E-01  6.345E+00     357 A        72 A        60 A   
  20.00 keV   8.733E-01  6.414E+00     385 A        77 A        64 A   
  22.50 keV   9.263E-01  6.481E+00     420 A        83 A        69 A   
  25.00 keV   9.764E-01  6.530E+00     455 A        89 A        74 A   
  27.50 keV   1.024E+00  6.565E+00     489 A        95 A        79 A   
  30.00 keV   1.070E+00  6.590E+00     523 A       100 A        84 A   
  32.50 keV   1.113E+00  6.606E+00     556 A       106 A        88 A   
  35.00 keV   1.155E+00  6.614E+00     589 A       111 A        93 A   
  37.50 keV   1.196E+00  6.617E+00     623 A       116 A        98 A   
  40.00 keV   1.235E+00  6.615E+00     656 A       121 A       102 A   
  45.00 keV   1.310E+00  6.599E+00     722 A       132 A       111 A   
