 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_CH2.txt

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  9.0000E-01 g/cm3 = 1.1592E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   5.50 MeV   8.049E-02  5.056E-05  427.89 um    18.03 um    10.54 um  
   6.00 MeV   7.504E-02  4.676E-05  499.27 um    20.80 um    12.22 um  
   6.50 MeV   7.034E-02  4.351E-05  575.63 um    23.60 um    14.02 um  
   7.00 MeV   6.625E-02  4.069E-05  656.90 um    26.41 um    15.92 um  
   8.00 MeV   5.944E-02  3.608E-05  833.74 um    36.68 um    20.05 um  
   9.00 MeV   5.401E-02  3.243E-05    1.03 mm    46.29 um    24.60 um  
  10.00 MeV   4.955E-02  2.949E-05    1.24 mm    55.70 um    29.56 um  
  11.00 MeV   4.584E-02  2.705E-05    1.48 mm    65.09 um    34.92 um  
  12.00 MeV   4.268E-02  2.500E-05    1.73 mm    74.56 um    40.67 um  
  13.00 MeV   3.997E-02  2.325E-05    2.00 mm    84.14 um    46.81 um  
  14.00 MeV   3.761E-02  2.173E-05    2.28 mm    93.87 um    53.33 um  
  15.00 MeV   3.554E-02  2.041E-05    2.59 mm   103.76 um    60.22 um  
  16.00 MeV   3.370E-02  1.925E-05    2.91 mm   113.82 um    67.49 um  
  17.00 MeV   3.206E-02  1.822E-05    3.24 mm   124.05 um    75.11 um  
  18.00 MeV   3.059E-02  1.729E-05    3.60 mm   134.45 um    83.10 um  
  20.00 MeV   2.805E-02  1.571E-05    4.36 mm   173.18 um   100.14 um  
  22.50 MeV   2.546E-02  1.411E-05    5.39 mm   228.60 um   123.39 um  
