 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 17, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\3H_Al.txt.txt

 Ion = Hydrogen [1] , Mass = 3 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 800.00 keV   3.328E-01  4.471E-04    7.45 um     3590 A      4653 A   
 900.00 keV   3.167E-01  4.047E-04    8.58 um     4039 A      5057 A   
   1.00 MeV   3.024E-01  3.701E-04    9.77 um     4482 A      5473 A   
   1.10 MeV   2.896E-01  3.412E-04   11.02 um     4923 A      5904 A   
   1.20 MeV   2.781E-01  3.168E-04   12.31 um     5362 A      6348 A   
   1.30 MeV   2.678E-01  2.959E-04   13.66 um     5802 A      6805 A   
   1.40 MeV   2.584E-01  2.777E-04   15.06 um     6242 A      7275 A   
   1.50 MeV   2.498E-01  2.617E-04   16.51 um     6683 A      7758 A   
   1.60 MeV   2.419E-01  2.476E-04   18.01 um     7126 A      8253 A   
   1.70 MeV   2.347E-01  2.350E-04   19.56 um     7572 A      8759 A   
   1.80 MeV   2.280E-01  2.237E-04   21.15 um     8019 A      9278 A   
   2.00 MeV   2.160E-01  2.042E-04   24.48 um     9516 A      1.03 um  
   2.25 MeV   2.031E-01  1.845E-04   28.88 um     1.16 um     1.17 um  
   2.50 MeV   1.921E-01  1.683E-04   33.55 um     1.36 um     1.32 um  
   2.75 MeV   1.826E-01  1.549E-04   38.47 um     1.56 um     1.47 um  
   3.00 MeV   1.742E-01  1.436E-04   43.65 um     1.75 um     1.63 um  
   3.25 MeV   1.661E-01  1.340E-04   49.07 um     1.94 um     1.80 um  
   3.50 MeV   1.581E-01  1.256E-04   54.76 um     2.12 um     1.97 um  
   3.75 MeV   1.508E-01  1.182E-04   60.74 um     2.32 um     2.14 um  
   4.00 MeV   1.447E-01  1.117E-04   66.98 um     2.51 um     2.33 um  
   4.50 MeV   1.339E-01  1.007E-04   80.25 um     3.19 um     2.71 um  
   5.00 MeV   1.248E-01  9.183E-05   94.54 um     3.83 um     3.12 um  
   5.50 MeV   1.169E-01  8.443E-05  109.82 um     4.46 um     3.56 um  
   6.00 MeV   1.102E-01  7.820E-05  126.09 um     5.08 um     4.02 um  
   6.50 MeV   1.043E-01  7.286E-05  143.31 um     5.70 um     4.50 um  
   7.00 MeV   9.901E-02  6.824E-05  161.49 um     6.32 um     5.01 um  
   8.00 MeV   9.013E-02  6.063E-05  200.59 um     8.51 um     6.09 um  
   9.00 MeV   8.288E-02  5.462E-05  243.33 um    10.57 um     7.25 um  
  10.00 MeV   7.684E-02  4.973E-05  289.62 um    12.56 um     8.50 um  
  11.00 MeV   7.172E-02  4.569E-05  339.38 um    14.54 um     9.84 um  
  12.00 MeV   6.731E-02  4.228E-05  392.55 um    16.52 um    11.25 um  
  13.00 MeV   6.347E-02  3.937E-05  449.06 um    18.51 um    12.74 um  
  14.00 MeV   6.010E-02  3.685E-05  508.88 um    20.52 um    14.31 um  
  15.00 MeV   5.710E-02  3.464E-05  571.94 um    22.55 um    15.96 um  
  16.00 MeV   5.442E-02  3.270E-05  638.21 um    24.61 um    17.68 um  
  17.00 MeV   5.201E-02  3.097E-05  707.65 um    26.70 um    19.47 um  
  18.00 MeV   4.983E-02  2.943E-05  780.22 um    28.82 um    21.34 um  
  20.00 MeV   4.602E-02  2.677E-05  934.55 um    36.55 um    25.28 um  
  22.50 MeV   4.209E-02  2.409E-05    1.14 mm    47.57 um    30.61 um  
  25.00 MeV   3.883E-02  2.191E-05    1.37 mm    58.01 um    36.37 um  
  27.50 MeV   3.610E-02  2.011E-05    1.62 mm    68.24 um    42.54 um  
  30.00 MeV   3.375E-02  1.859E-05    1.88 mm    78.41 um    49.12 um  
  32.50 MeV   3.173E-02  1.730E-05    2.17 mm    88.61 um    56.09 um  
  35.00 MeV   2.996E-02  1.618E-05    2.47 mm    98.89 um    63.46 um  
  37.50 MeV   2.839E-02  1.520E-05    2.78 mm   109.27 um    71.21 um  
  40.00 MeV   2.700E-02  1.434E-05    3.12 mm   119.78 um    79.34 um  
  45.00 MeV   2.462E-02  1.289E-05    3.83 mm   158.31 um    96.72 um  
  50.00 MeV   2.267E-02  1.172E-05    4.62 mm   194.60 um   115.55 um  
  55.00 MeV   2.103E-02  1.075E-05    5.46 mm   230.02 um   135.80 um  
  60.00 MeV   1.964E-02  9.930E-06    6.37 mm   265.20 um   157.43 um  
  65.00 MeV   1.844E-02  9.234E-06    7.34 mm   300.45 um   180.42 um  
  70.00 MeV   1.739E-02  8.632E-06    8.37 mm   335.96 um   204.73 um  
  80.00 MeV   1.565E-02  7.645E-06   10.61 mm   465.32 um   257.24 um  
  90.00 MeV   1.427E-02  6.867E-06   13.09 mm   585.91 um   314.78 um  
 100.00 MeV   1.313E-02  6.238E-06   15.79 mm   703.50 um   377.18 um  
 110.00 MeV   1.218E-02  5.719E-06   18.71 mm   820.38 um   444.29 um  
 120.00 MeV   1.138E-02  5.282E-06   21.85 mm   937.65 um   515.99 um  
 130.00 MeV   1.069E-02  4.909E-06   25.21 mm     1.06 mm   592.14 um  
 140.00 MeV   1.009E-02  4.588E-06   28.77 mm     1.18 mm   672.63 um  
 150.00 MeV   9.559E-03  4.307E-06   32.53 mm     1.30 mm   757.35 um  
 160.00 MeV   9.093E-03  4.060E-06   36.50 mm     1.42 mm   846.20 um  
 170.00 MeV   8.677E-03  3.841E-06   40.66 mm     1.54 mm   939.08 um  
 180.00 MeV   8.303E-03  3.645E-06   45.01 mm     1.67 mm     1.04 mm  
 200.00 MeV   7.660E-03  3.309E-06   54.28 mm     2.14 mm     1.24 mm  
 225.00 MeV   7.005E-03  2.970E-06   66.90 mm     2.80 mm     1.52 mm  
 250.00 MeV   6.472E-03  2.696E-06   80.63 mm     3.43 mm     1.82 mm  
 275.00 MeV   6.030E-03  2.470E-06   95.43 mm     4.03 mm     2.14 mm  
 300.00 MeV   5.656E-03  2.280E-06  111.26 mm     4.63 mm     2.48 mm  
 325.00 MeV   5.337E-03  2.118E-06  128.08 mm     5.23 mm     2.84 mm  
 350.00 MeV   5.060E-03  1.978E-06  145.87 mm     5.83 mm     3.21 mm  
 375.00 MeV   4.819E-03  1.857E-06  164.59 mm     6.42 mm     3.61 mm  
 400.00 MeV   4.605E-03  1.749E-06  184.21 mm     7.02 mm     4.02 mm  
 450.00 MeV   4.246E-03  1.569E-06  226.02 mm     9.23 mm     4.88 mm  
 500.00 MeV   3.956E-03  1.424E-06  271.14 mm    11.27 mm     5.81 mm  
 550.00 MeV   3.716E-03  1.304E-06  319.37 mm    13.22 mm     6.79 mm  
 600.00 MeV   3.514E-03  1.203E-06  370.54 mm    15.13 mm     7.81 mm  
 650.00 MeV   3.342E-03  1.117E-06  424.49 mm    17.00 mm     8.88 mm  
 700.00 MeV   3.195E-03  1.043E-06  481.07 mm    18.85 mm    10.00 mm  
 800.00 MeV   2.953E-03  9.221E-07  601.49 mm    25.51 mm    12.33 mm  
 900.00 MeV   2.764E-03  8.268E-07  730.95 mm    31.51 mm    14.80 mm  
   1.00 GeV   2.613E-03  7.499E-07  868.57 mm    37.15 mm    17.37 mm  
   1.10 GeV   2.489E-03  6.865E-07    1.01 m     42.55 mm    20.04 mm  
   1.20 GeV   2.386E-03  6.333E-07    1.17 m     47.78 mm    22.78 mm  
   1.30 GeV   2.300E-03  5.879E-07    1.32 m     52.87 mm    25.59 mm  
   1.40 GeV   2.226E-03  5.488E-07    1.49 m     57.84 mm    28.45 mm  
   1.50 GeV   2.162E-03  5.147E-07    1.66 m     62.70 mm    31.36 mm  
   1.60 GeV   2.107E-03  4.848E-07    1.83 m     67.45 mm    34.31 mm  
   1.70 GeV   2.059E-03  4.582E-07    2.01 m     72.12 mm    37.28 mm  
   1.80 GeV   2.016E-03  4.345E-07    2.19 m     76.70 mm    40.28 mm  
   2.00 GeV   1.945E-03  3.939E-07    2.56 m     93.40 mm    46.33 mm  
   2.25 GeV   1.876E-03  3.530E-07    3.05 m    116.09 mm    53.94 mm  
   2.50 GeV   1.823E-03  3.200E-07    3.55 m    136.22 mm    61.56 mm  
   2.75 GeV   1.782E-03  2.928E-07    4.06 m    154.62 mm    69.15 mm  
   3.00 GeV   1.749E-03  2.700E-07    4.58 m    171.74 mm    76.68 mm  
   3.25 GeV   1.722E-03  2.506E-07    5.12 m    187.83 mm    84.13 mm  
   3.50 GeV   1.701E-03  2.338E-07    5.66 m    203.05 mm    91.49 mm  
   3.75 GeV   1.683E-03  2.193E-07    6.20 m    217.54 mm    98.76 mm  
   4.00 GeV   1.669E-03  2.064E-07    6.75 m    231.39 mm   105.91 mm  
   4.50 GeV   1.648E-03  1.849E-07    7.87 m    280.50 mm   119.89 mm  
   5.00 GeV   1.633E-03  1.676E-07    9.00 m    323.08 mm   133.42 mm  
   5.50 GeV   1.624E-03  1.533E-07   10.13 m    361.20 mm   146.51 mm  
   6.00 GeV   1.619E-03  1.413E-07   11.27 m    395.98 mm   159.16 mm  
   6.50 GeV   1.615E-03  1.311E-07   12.42 m    428.13 mm   171.39 mm  
   7.00 GeV   1.614E-03  1.223E-07   13.56 m    458.11 mm   183.23 mm  
   8.00 GeV   1.616E-03  1.080E-07   15.85 m    561.67 mm   205.81 mm  
   9.00 GeV   1.620E-03  9.668E-08   18.14 m    648.63 mm   227.07 mm  
  10.00 GeV   1.627E-03  8.759E-08   20.42 m    724.74 mm   247.14 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.7019E+01                 eV / Angstrom 
  2.7019E+02                keV / micron   
  2.7019E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  4.4804E+01                 eV / (1E15 atoms/cm2)
  1.0401E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
