 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\60Zn_CD2.txt

 Ion = Zinc [30] , Mass = 60 amu

 Target Density =  9.0000E-01 g/cm3 = 1.0156E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.277E-01  5.824E+00     235 A        51 A        41 A   
  11.00 keV   6.583E-01  5.921E+00     251 A        54 A        44 A   
  12.00 keV   6.876E-01  6.006E+00     266 A        57 A        46 A   
  13.00 keV   7.157E-01  6.081E+00     281 A        60 A        49 A   
  14.00 keV   7.427E-01  6.146E+00     296 A        62 A        51 A   
  15.00 keV   7.688E-01  6.203E+00     311 A        65 A        53 A   
  16.00 keV   7.940E-01  6.254E+00     325 A        68 A        56 A   
  17.00 keV   8.184E-01  6.299E+00     340 A        70 A        58 A   
  18.00 keV   8.422E-01  6.339E+00     354 A        73 A        60 A   
  20.00 keV   8.877E-01  6.405E+00     382 A        78 A        64 A   
  22.50 keV   9.416E-01  6.469E+00     417 A        84 A        69 A   
  25.00 keV   9.925E-01  6.515E+00     452 A        89 A        74 A   
  27.50 keV   1.041E+00  6.547E+00     486 A        95 A        79 A   
  30.00 keV   1.087E+00  6.569E+00     520 A       101 A        84 A   
  32.50 keV   1.132E+00  6.583E+00     553 A       106 A        89 A   
  35.00 keV   1.174E+00  6.589E+00     586 A       112 A        94 A   
  37.50 keV   1.216E+00  6.590E+00     620 A       117 A        98 A   
  40.00 keV   1.255E+00  6.585E+00     653 A       122 A       103 A   
  45.00 keV   1.332E+00  6.566E+00     719 A       133 A       112 A   
