 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 17, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\12C_Al.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.00 MeV   3.920E+00  3.549E-02    1.39 um     1371 A      1710 A   
   1.10 MeV   4.054E+00  3.296E-02    1.48 um     1396 A      1755 A   
   1.20 MeV   4.170E+00  3.079E-02    1.57 um     1418 A      1797 A   
   1.30 MeV   4.271E+00  2.892E-02    1.66 um     1439 A      1835 A   
   1.40 MeV   4.358E+00  2.728E-02    1.74 um     1458 A      1871 A   
   1.50 MeV   4.435E+00  2.583E-02    1.82 um     1475 A      1904 A   
   1.60 MeV   4.501E+00  2.454E-02    1.90 um     1492 A      1936 A   
   1.70 MeV   4.559E+00  2.338E-02    1.99 um     1508 A      1966 A   
   1.80 MeV   4.609E+00  2.234E-02    2.06 um     1523 A      1994 A   
   2.00 MeV   4.691E+00  2.052E-02    2.22 um     1559 A      2047 A   
   2.25 MeV   4.766E+00  1.866E-02    2.42 um     1605 A      2108 A   
   2.50 MeV   4.819E+00  1.714E-02    2.61 um     1647 A      2164 A   
   2.75 MeV   4.854E+00  1.586E-02    2.80 um     1687 A      2216 A   
   3.00 MeV   4.878E+00  1.477E-02    2.99 um     1725 A      2265 A   
   3.25 MeV   4.891E+00  1.383E-02    3.17 um     1762 A      2312 A   
   3.50 MeV   4.897E+00  1.301E-02    3.36 um     1797 A      2357 A   
   3.75 MeV   4.898E+00  1.229E-02    3.55 um     1831 A      2401 A   
   4.00 MeV   4.894E+00  1.165E-02    3.74 um     1864 A      2443 A   
   4.50 MeV   4.877E+00  1.057E-02    4.11 um     1965 A      2523 A   
   5.00 MeV   4.852E+00  9.679E-03    4.49 um     2060 A      2600 A   
   5.50 MeV   4.821E+00  8.938E-03    4.87 um     2152 A      2674 A   
   6.00 MeV   4.787E+00  8.309E-03    5.26 um     2241 A      2746 A   
   6.50 MeV   4.750E+00  7.768E-03    5.64 um     2327 A      2816 A   
   7.00 MeV   4.712E+00  7.298E-03    6.03 um     2411 A      2884 A   
   8.00 MeV   4.635E+00  6.520E-03    6.82 um     2692 A      3018 A   
   9.00 MeV   4.557E+00  5.900E-03    7.63 um     2954 A      3149 A   
  10.00 MeV   4.479E+00  5.394E-03    8.44 um     3203 A      3277 A   
  11.00 MeV   4.402E+00  4.973E-03    9.27 um     3441 A      3404 A   
  12.00 MeV   4.326E+00  4.616E-03   10.12 um     3671 A      3530 A   
  13.00 MeV   4.252E+00  4.310E-03   10.98 um     3895 A      3655 A   
  14.00 MeV   4.179E+00  4.045E-03   11.86 um     4114 A      3780 A   
  15.00 MeV   4.108E+00  3.812E-03   12.75 um     4329 A      3905 A   
  16.00 MeV   4.038E+00  3.606E-03   13.66 um     4540 A      4031 A   
  17.00 MeV   3.970E+00  3.422E-03   14.58 um     4749 A      4156 A   
  18.00 MeV   3.904E+00  3.257E-03   15.52 um     4956 A      4283 A   
  20.00 MeV   3.775E+00  2.974E-03   17.44 um     5701 A      4537 A   
  22.50 MeV   3.624E+00  2.685E-03   19.94 um     6759 A      4861 A   
  25.00 MeV   3.484E+00  2.450E-03   22.54 um     7744 A      5191 A   
  27.50 MeV   3.332E+00  2.255E-03   25.26 um     8691 A      5529 A   
  30.00 MeV   3.180E+00  2.090E-03   28.10 um     9622 A      5878 A   
  32.50 MeV   3.053E+00  1.949E-03   31.06 um     1.05 um     6239 A   
  35.00 MeV   2.935E+00  1.826E-03   34.15 um     1.15 um     6610 A   
  37.50 MeV   2.825E+00  1.719E-03   37.36 um     1.24 um     6993 A   
  40.00 MeV   2.722E+00  1.625E-03   40.70 um     1.33 um     7389 A   
  45.00 MeV   2.534E+00  1.465E-03   47.74 um     1.67 um     8217 A   
  50.00 MeV   2.369E+00  1.335E-03   55.28 um     1.99 um     9096 A   
  55.00 MeV   2.223E+00  1.228E-03   63.34 um     2.30 um     1.00 um  
  60.00 MeV   2.093E+00  1.137E-03   71.92 um     2.61 um     1.10 um  
  65.00 MeV   1.977E+00  1.059E-03   81.01 um     2.92 um     1.21 um  
  70.00 MeV   1.872E+00  9.919E-04   90.62 um     3.23 um     1.31 um  
  80.00 MeV   1.693E+00  8.811E-04  111.40 um     4.39 um     1.55 um  
  90.00 MeV   1.545E+00  7.936E-04  134.28 um     5.47 um     1.81 um  
 100.00 MeV   1.421E+00  7.226E-04  159.25 um     6.53 um     2.09 um  
 110.00 MeV   1.317E+00  6.638E-04  186.30 um     7.59 um     2.39 um  
 120.00 MeV   1.227E+00  6.142E-04  215.41 um     8.66 um     2.72 um  
 130.00 MeV   1.150E+00  5.719E-04  246.55 um     9.74 um     3.07 um  
 140.00 MeV   1.083E+00  5.352E-04  279.71 um    10.84 um     3.44 um  
 150.00 MeV   1.024E+00  5.032E-04  314.86 um    11.95 um     3.83 um  
 160.00 MeV   9.713E-01  4.749E-04  351.96 um    13.09 um     4.24 um  
 170.00 MeV   9.248E-01  4.498E-04  390.99 um    14.24 um     4.67 um  
 180.00 MeV   8.831E-01  4.273E-04  431.93 um    15.40 um     5.12 um  
 200.00 MeV   8.115E-01  3.888E-04  519.35 um    19.82 um     6.09 um  
 225.00 MeV   7.387E-01  3.497E-04  638.82 um    26.13 um     7.41 um  
 250.00 MeV   6.796E-01  3.181E-04  769.38 um    32.08 um     8.84 um  
