 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\140Xe_CD2.txt

 Ion = Xenon [54] , Mass = 140 amu

 Target Density =  9.0000E-01 g/cm3 = 1.0156E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.669E-01  7.144E+00     246 A        41 A        31 A   
  11.00 keV   8.044E-01  7.368E+00     259 A        43 A        33 A   
  12.00 keV   8.401E-01  7.574E+00     271 A        45 A        34 A   
  13.00 keV   8.744E-01  7.763E+00     284 A        46 A        36 A   
  14.00 keV   9.074E-01  7.937E+00     296 A        48 A        37 A   
  15.00 keV   9.393E-01  8.100E+00     308 A        50 A        38 A   
  16.00 keV   9.701E-01  8.252E+00     319 A        51 A        40 A   
  17.00 keV   1.000E+00  8.394E+00     331 A        53 A        41 A   
  18.00 keV   1.029E+00  8.527E+00     342 A        54 A        42 A   
  20.00 keV   1.085E+00  8.771E+00     364 A        57 A        45 A   
  22.50 keV   1.150E+00  9.040E+00     390 A        60 A        48 A   
  25.00 keV   1.213E+00  9.276E+00     416 A        63 A        51 A   
  27.50 keV   1.272E+00  9.486E+00     441 A        67 A        54 A   
  30.00 keV   1.328E+00  9.674E+00     465 A        70 A        56 A   
  32.50 keV   1.383E+00  9.842E+00     489 A        72 A        59 A   
  35.00 keV   1.435E+00  9.995E+00     513 A        75 A        62 A   
  37.50 keV   1.485E+00  1.013E+01     536 A        78 A        64 A   
  40.00 keV   1.534E+00  1.026E+01     558 A        81 A        67 A   
  45.00 keV   1.627E+00  1.048E+01     603 A        86 A        72 A   
