 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Actinium in Silicon.txt

 Ion = Actinium [89] , Mass = 230 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 MeV   1.582E+01  6.811E+00    1.97 um     1822 A      1852 A   
  11.00 MeV   1.629E+01  6.465E+00    2.16 um     1936 A      1988 A   
  12.00 MeV   1.671E+01  6.158E+00    2.35 um     2043 A      2119 A   
  13.00 MeV   1.709E+01  5.883E+00    2.53 um     2146 A      2246 A   
  14.00 MeV   1.743E+01  5.636E+00    2.71 um     2243 A      2370 A   
  15.00 MeV   1.776E+01  5.411E+00    2.90 um     2337 A      2490 A   
  16.00 MeV   1.808E+01  5.206E+00    3.08 um     2426 A      2607 A   
  17.00 MeV   1.840E+01  5.019E+00    3.26 um     2512 A      2722 A   
  18.00 MeV   1.871E+01  4.846E+00    3.44 um     2595 A      2833 A   
  20.00 MeV   1.935E+01  4.539E+00    3.80 um     2774 A      3048 A   
  22.50 MeV   2.018E+01  4.213E+00    4.24 um     2990 A      3301 A   
  25.00 MeV   2.107E+01  3.936E+00    4.68 um     3185 A      3540 A   
  27.50 MeV   2.201E+01  3.698E+00    5.10 um     3362 A      3763 A   
  30.00 MeV   2.299E+01  3.490E+00    5.50 um     3521 A      3972 A   
  32.50 MeV   2.400E+01  3.308E+00    5.90 um     3667 A      4168 A   
  35.00 MeV   2.505E+01  3.145E+00    6.29 um     3799 A      4352 A   
  37.50 MeV   2.611E+01  3.000E+00    6.66 um     3920 A      4523 A   
  40.00 MeV   2.718E+01  2.870E+00    7.02 um     4030 A      4685 A   
  45.00 MeV   2.934E+01  2.643E+00    7.71 um     4281 A      4978 A   
  50.00 MeV   3.148E+01  2.454E+00    8.36 um     4492 A      5237 A   
  55.00 MeV   3.357E+01  2.292E+00    8.97 um     4673 A      5468 A   
  60.00 MeV   3.561E+01  2.153E+00    9.56 um     4830 A      5675 A   
  65.00 MeV   3.758E+01  2.031E+00   10.11 um     4967 A      5862 A   
  70.00 MeV   3.948E+01  1.924E+00   10.64 um     5090 A      6031 A   
  80.00 MeV   4.308E+01  1.743E+00   11.64 um     5390 A      6328 A   
  90.00 MeV   4.640E+01  1.597E+00   12.56 um     5635 A      6580 A   
 100.00 MeV   4.949E+01  1.475E+00   13.43 um     5841 A      6797 A   
 110.00 MeV   5.236E+01  1.372E+00   14.25 um     6017 A      6988 A   
 120.00 MeV   5.502E+01  1.284E+00   15.03 um     6172 A      7158 A   
 130.00 MeV   5.752E+01  1.207E+00   15.78 um     6309 A      7309 A   
 140.00 MeV   5.985E+01  1.140E+00   16.49 um     6432 A      7447 A   
 150.00 MeV   6.204E+01  1.081E+00   17.19 um     6543 A      7572 A   
 160.00 MeV   6.411E+01  1.028E+00   17.86 um     6646 A      7687 A   
 170.00 MeV   6.605E+01  9.802E-01   18.51 um     6740 A      7793 A   
 180.00 MeV   6.790E+01  9.372E-01   19.14 um     6827 A      7892 A   
 200.00 MeV   7.131E+01  8.626E-01   20.36 um     7090 A      8069 A   
 225.00 MeV   7.512E+01  7.857E-01   21.81 um     7432 A      8263 A   
 250.00 MeV   7.852E+01  7.224E-01   23.20 um     7728 A      8432 A   
 275.00 MeV   8.156E+01  6.692E-01   24.53 um     7990 A      8582 A   
 300.00 MeV   8.431E+01  6.240E-01   25.82 um     8226 A      8717 A   
 325.00 MeV   8.680E+01  5.849E-01   27.07 um     8441 A      8840 A   
 350.00 MeV   8.906E+01  5.508E-01   28.29 um     8639 A      8952 A   
 375.00 MeV   9.111E+01  5.207E-01   29.47 um     8823 A      9056 A   
 400.00 MeV   9.299E+01  4.940E-01   30.64 um     8995 A      9152 A   
 450.00 MeV   9.627E+01  4.486E-01   32.90 um     9582 A      9328 A   
 500.00 MeV   9.895E+01  4.114E-01   35.09 um     1.01 um     9484 A   
 550.00 MeV   1.002E+02  3.802E-01   37.25 um     1.06 um     9627 A   
 600.00 MeV   1.016E+02  3.538E-01   39.37 um     1.10 um     9759 A   
 650.00 MeV   1.028E+02  3.310E-01   41.47 um     1.14 um     9882 A   
 700.00 MeV   1.037E+02  3.112E-01   43.55 um     1.18 um     9997 A   
 800.00 MeV   1.050E+02  2.784E-01   47.67 um     1.32 um     1.02 um  
 900.00 MeV   1.057E+02  2.522E-01   51.74 um     1.44 um     1.04 um  
   1.00 GeV   1.060E+02  2.307E-01   55.81 um     1.56 um     1.06 um  
   1.10 GeV   1.059E+02  2.129E-01   59.86 um     1.66 um     1.08 um  
   1.20 GeV   1.056E+02  1.978E-01   63.93 um     1.76 um     1.09 um  
   1.30 GeV   1.052E+02  1.848E-01   68.01 um     1.85 um     1.11 um  
   1.40 GeV   1.046E+02  1.735E-01   72.11 um     1.94 um     1.12 um  
   1.50 GeV   1.039E+02  1.636E-01   76.23 um     2.03 um     1.14 um  
   1.60 GeV   1.032E+02  1.548E-01   80.39 um     2.11 um     1.15 um  
   1.70 GeV   1.025E+02  1.470E-01   84.57 um     2.20 um     1.17 um  
   1.80 GeV   1.017E+02  1.400E-01   88.78 um     2.28 um     1.18 um  
   2.00 GeV   1.001E+02  1.279E-01   97.31 um     2.58 um     1.21 um  
   2.25 GeV   9.810E+01  1.155E-01  108.17 um     3.00 um     1.24 um  
   2.50 GeV   9.614E+01  1.055E-01  119.24 um     3.39 um     1.28 um  
   2.75 GeV   9.425E+01  9.717E-02  130.55 um     3.75 um     1.31 um  
   3.00 GeV   9.245E+01  9.011E-02  142.08 um     4.09 um     1.35 um  
   3.25 GeV   9.073E+01  8.407E-02  153.83 um     4.42 um     1.38 um  
   3.50 GeV   8.908E+01  7.882E-02  165.80 um     4.73 um     1.41 um  
   3.75 GeV   8.750E+01  7.423E-02  177.99 um     5.04 um     1.45 um  
   4.00 GeV   8.598E+01  7.017E-02  190.39 um     5.34 um     1.48 um  
   4.50 GeV   8.311E+01  6.331E-02  215.86 um     6.44 um     1.55 um  
   5.00 GeV   8.042E+01  5.774E-02  242.19 um     7.44 um     1.62 um  
   5.50 GeV   7.787E+01  5.311E-02  269.40 um     8.38 um     1.70 um  
   6.00 GeV   7.544E+01  4.921E-02  297.49 um     9.28 um     1.77 um  
   6.50 GeV   7.311E+01  4.586E-02  326.49 um    10.15 um     1.85 um  
   7.00 GeV   7.087E+01  4.297E-02  356.40 um    10.99 um     1.93 um  
   8.00 GeV   6.682E+01  3.819E-02  418.99 um    14.12 um     2.09 um  
   9.00 GeV   6.326E+01  3.442E-02  485.24 um    16.95 um     2.26 um  
  10.00 GeV   6.012E+01  3.135E-02  555.08 um    19.62 um     2.44 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3211E+01                 eV / Angstrom 
  2.3211E+02                keV / micron   
  2.3211E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  4.6637E+01                 eV / (1E15 atoms/cm2)
  2.5185E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
