 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Actinium in Silicon.txt

 Ion = Actinium [89] , Mass = 229 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.155E-01  5.829E+00     126 A        32 A        23 A   
  11.00 keV   6.455E-01  6.069E+00     131 A        33 A        24 A   
  12.00 keV   6.742E-01  6.294E+00     137 A        34 A        25 A   
  13.00 keV   7.018E-01  6.505E+00     143 A        35 A        26 A   
  14.00 keV   7.283E-01  6.703E+00     148 A        36 A        27 A   
  15.00 keV   7.538E-01  6.891E+00     153 A        38 A        27 A   
  16.00 keV   7.785E-01  7.069E+00     158 A        39 A        28 A   
  17.00 keV   8.025E-01  7.238E+00     163 A        40 A        29 A   
  18.00 keV   8.258E-01  7.399E+00     168 A        41 A        30 A   
  20.00 keV   8.704E-01  7.700E+00     177 A        42 A        31 A   
  22.50 keV   9.232E-01  8.043E+00     188 A        45 A        33 A   
  25.00 keV   9.732E-01  8.354E+00     199 A        47 A        35 A   
  27.50 keV   1.021E+00  8.639E+00     209 A        49 A        37 A   
  30.00 keV   1.066E+00  8.901E+00     219 A        51 A        38 A   
  32.50 keV   1.110E+00  9.144E+00     229 A        53 A        40 A   
  35.00 keV   1.151E+00  9.370E+00     238 A        54 A        41 A   
  37.50 keV   1.192E+00  9.582E+00     247 A        56 A        43 A   
  40.00 keV   1.231E+00  9.780E+00     256 A        58 A        44 A   
  45.00 keV   1.306E+00  1.014E+01     274 A        61 A        47 A   
  50.00 keV   1.376E+00  1.047E+01     291 A        64 A        50 A   
