 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 29, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\106In_CD2.txt

 Ion = Indium [49] , Mass = 106 amu

 Target Density =  9.3000E-01 g/cm3 = 1.0494E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = 0.54%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.351E-01  7.245E+00     226 A        42 A        33 A   
  11.00 keV   5.612E-01  7.448E+00     239 A        44 A        34 A   
  12.00 keV   5.862E-01  7.631E+00     251 A        46 A        36 A   
  13.00 keV   6.101E-01  7.800E+00     263 A        48 A        38 A   
  14.00 keV   6.331E-01  7.954E+00     275 A        50 A        39 A   
  15.00 keV   6.554E-01  8.096E+00     287 A        52 A        41 A   
  16.00 keV   6.768E-01  8.228E+00     298 A        53 A        42 A   
  17.00 keV   6.977E-01  8.351E+00     309 A        55 A        44 A   
  18.00 keV   7.179E-01  8.465E+00     321 A        57 A        45 A   
  20.00 keV   7.567E-01  8.672E+00     342 A        60 A        48 A   
  22.50 keV   8.026E-01  8.897E+00     369 A        63 A        51 A   
  25.00 keV   8.461E-01  9.092E+00     395 A        67 A        55 A   
  27.50 keV   8.874E-01  9.261E+00     420 A        71 A        58 A   
  30.00 keV   9.268E-01  9.410E+00     445 A        74 A        61 A   
  32.50 keV   9.647E-01  9.541E+00     469 A        77 A        64 A   
  35.00 keV   1.001E+00  9.658E+00     493 A        81 A        67 A   
  37.50 keV   1.036E+00  9.763E+00     517 A        84 A        70 A   
  40.00 keV   1.070E+00  9.856E+00     540 A        87 A        73 A   
  45.00 keV   1.135E+00  1.001E+01     587 A        93 A        79 A   
