 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\27Na_CD2.txt

 Ion = Sodium [11] , Mass = 28 amu

 Target Density =  9.0000E-01 g/cm3 = 1.0156E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.236E-01  2.380E+00     387 A       102 A        79 A   
  11.00 keV   5.492E-01  2.358E+00     421 A       110 A        85 A   
  12.00 keV   5.736E-01  2.335E+00     455 A       117 A        90 A   
  13.00 keV   5.970E-01  2.311E+00     489 A       125 A        96 A   
  14.00 keV   6.196E-01  2.287E+00     523 A       132 A       102 A   
  15.00 keV   6.413E-01  2.262E+00     557 A       140 A       108 A   
  16.00 keV   6.623E-01  2.237E+00     591 A       147 A       113 A   
  17.00 keV   6.827E-01  2.213E+00     626 A       155 A       119 A   
  18.00 keV   7.025E-01  2.188E+00     660 A       162 A       125 A   
  20.00 keV   7.405E-01  2.140E+00     729 A       177 A       136 A   
  22.50 keV   7.854E-01  2.082E+00     817 A       195 A       150 A   
  25.00 keV   8.279E-01  2.027E+00     905 A       212 A       163 A   
  27.50 keV   8.683E-01  1.975E+00     993 A       230 A       177 A   
  30.00 keV   9.069E-01  1.925E+00    1083 A       247 A       191 A   
  32.50 keV   9.440E-01  1.878E+00    1172 A       264 A       205 A   
  35.00 keV   9.796E-01  1.833E+00    1262 A       281 A       218 A   
  37.50 keV   1.014E+00  1.791E+00    1353 A       297 A       232 A   
  40.00 keV   1.047E+00  1.751E+00    1444 A       313 A       245 A   
  45.00 keV   1.111E+00  1.676E+00    1628 A       345 A       272 A   
