 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\132Xe_tTi.txt

 Ion = Xenon [54] , Mass = 132 amu

 Target Density =  2.2952E+00 g/cm3 = 5.4309E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    050.00    097.94   
      H      1    050.00    002.06   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.768E-01  4.150E+00     139 A        54 A        40 A   
  11.00 keV   2.903E-01  4.287E+00     147 A        57 A        42 A   
  12.00 keV   3.032E-01  4.412E+00     154 A        59 A        44 A   
  13.00 keV   3.156E-01  4.529E+00     162 A        61 A        46 A   
  14.00 keV   3.275E-01  4.637E+00     169 A        64 A        47 A   
  15.00 keV   3.390E-01  4.737E+00     176 A        66 A        49 A   
  16.00 keV   3.501E-01  4.831E+00     182 A        68 A        51 A   
  17.00 keV   3.609E-01  4.920E+00     189 A        70 A        52 A   
  18.00 keV   3.713E-01  5.003E+00     195 A        72 A        54 A   
  20.00 keV   3.914E-01  5.156E+00     208 A        76 A        57 A   
  22.50 keV   4.152E-01  5.326E+00     224 A        81 A        61 A   
  25.00 keV   4.376E-01  5.477E+00     239 A        85 A        65 A   
  27.50 keV   4.590E-01  5.611E+00     254 A        90 A        68 A   
  30.00 keV   4.794E-01  5.732E+00     268 A        94 A        72 A   
  32.50 keV   4.990E-01  5.841E+00     282 A        98 A        75 A   
  35.00 keV   5.178E-01  5.940E+00     296 A       102 A        78 A   
  37.50 keV   5.360E-01  6.031E+00     310 A       106 A        81 A   
  40.00 keV   5.535E-01  6.115E+00     323 A       110 A        85 A   
  45.00 keV   5.871E-01  6.263E+00     349 A       118 A        91 A   
