 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Uranium in Silicon.txt

 Ion = Uranium [92] , Mass = 233 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 MeV   1.688E+01  7.206E+00    1.91 um     1771 A      1796 A   
  11.00 MeV   1.744E+01  6.845E+00    2.08 um     1878 A      1923 A   
  12.00 MeV   1.790E+01  6.524E+00    2.25 um     1978 A      2047 A   
  13.00 MeV   1.828E+01  6.236E+00    2.43 um     2073 A      2166 A   
  14.00 MeV   1.859E+01  5.976E+00    2.60 um     2164 A      2281 A   
  15.00 MeV   1.886E+01  5.740E+00    2.77 um     2252 A      2394 A   
  16.00 MeV   1.909E+01  5.525E+00    2.95 um     2336 A      2504 A   
  17.00 MeV   1.930E+01  5.328E+00    3.12 um     2418 A      2612 A   
  18.00 MeV   1.950E+01  5.147E+00    3.29 um     2497 A      2718 A   
  20.00 MeV   1.987E+01  4.824E+00    3.64 um     2670 A      2923 A   
  22.50 MeV   2.037E+01  4.480E+00    4.07 um     2884 A      3169 A   
  25.00 MeV   2.093E+01  4.188E+00    4.49 um     3080 A      3404 A   
  27.50 MeV   2.158E+01  3.936E+00    4.91 um     3262 A      3628 A   
  30.00 MeV   2.232E+01  3.716E+00    5.33 um     3430 A      3841 A   
  32.50 MeV   2.314E+01  3.523E+00    5.73 um     3584 A      4043 A   
  35.00 MeV   2.403E+01  3.352E+00    6.13 um     3726 A      4235 A   
  37.50 MeV   2.499E+01  3.198E+00    6.51 um     3856 A      4415 A   
  40.00 MeV   2.599E+01  3.059E+00    6.89 um     3976 A      4586 A   
  45.00 MeV   2.810E+01  2.819E+00    7.60 um     4248 A      4898 A   
  50.00 MeV   3.029E+01  2.618E+00    8.27 um     4476 A      5175 A   
  55.00 MeV   3.250E+01  2.447E+00    8.90 um     4671 A      5421 A   
  60.00 MeV   3.470E+01  2.299E+00    9.50 um     4838 A      5642 A   
  65.00 MeV   3.686E+01  2.169E+00   10.06 um     4983 A      5840 A   
  70.00 MeV   3.897E+01  2.055E+00   10.60 um     5111 A      6020 A   
  80.00 MeV   4.300E+01  1.863E+00   11.59 um     5419 A      6331 A   
  90.00 MeV   4.674E+01  1.707E+00   12.51 um     5665 A      6592 A   
 100.00 MeV   5.021E+01  1.577E+00   13.37 um     5870 A      6817 A   
 110.00 MeV   5.343E+01  1.468E+00   14.18 um     6044 A      7012 A   
 120.00 MeV   5.641E+01  1.374E+00   14.94 um     6194 A      7184 A   
 130.00 MeV   5.918E+01  1.292E+00   15.67 um     6327 A      7337 A   
 140.00 MeV   6.176E+01  1.220E+00   16.36 um     6446 A      7475 A   
 150.00 MeV   6.417E+01  1.157E+00   17.03 um     6553 A      7601 A   
 160.00 MeV   6.644E+01  1.100E+00   17.68 um     6650 A      7715 A   
 170.00 MeV   6.857E+01  1.050E+00   18.31 um     6740 A      7821 A   
 180.00 MeV   7.058E+01  1.004E+00   18.92 um     6823 A      7918 A   
 200.00 MeV   7.430E+01  9.241E-01   20.09 um     7069 A      8094 A   
 225.00 MeV   7.845E+01  8.419E-01   21.48 um     7388 A      8284 A   
 250.00 MeV   8.217E+01  7.742E-01   22.80 um     7664 A      8449 A   
 275.00 MeV   8.553E+01  7.174E-01   24.08 um     7907 A      8595 A   
 300.00 MeV   8.859E+01  6.690E-01   25.30 um     8126 A      8726 A   
 325.00 MeV   9.140E+01  6.272E-01   26.49 um     8324 A      8844 A   
 350.00 MeV   9.398E+01  5.907E-01   27.64 um     8507 A      8952 A   
 375.00 MeV   9.637E+01  5.585E-01   28.77 um     8676 A      9051 A   
 400.00 MeV   9.859E+01  5.299E-01   29.86 um     8833 A      9143 A   
 450.00 MeV   1.026E+02  4.813E-01   31.99 um     9366 A      9309 A   
 500.00 MeV   1.060E+02  4.414E-01   34.05 um     9834 A      9456 A   
 550.00 MeV   1.080E+02  4.081E-01   36.05 um     1.03 um     9589 A   
 600.00 MeV   1.100E+02  3.798E-01   38.02 um     1.07 um     9710 A   
 650.00 MeV   1.118E+02  3.554E-01   39.96 um     1.10 um     9823 A   
 700.00 MeV   1.133E+02  3.341E-01   41.86 um     1.14 um     9928 A   
 800.00 MeV   1.157E+02  2.989E-01   45.62 um     1.26 um     1.01 um  
 900.00 MeV   1.173E+02  2.708E-01   49.30 um     1.36 um     1.03 um  
   1.00 GeV   1.184E+02  2.478E-01   52.95 um     1.46 um     1.05 um  
   1.10 GeV   1.190E+02  2.287E-01   56.57 um     1.55 um     1.06 um  
   1.20 GeV   1.193E+02  2.125E-01   60.18 um     1.63 um     1.07 um  
   1.30 GeV   1.193E+02  1.985E-01   63.78 um     1.71 um     1.09 um  
   1.40 GeV   1.191E+02  1.864E-01   67.39 um     1.79 um     1.10 um  
   1.50 GeV   1.188E+02  1.758E-01   71.00 um     1.86 um     1.11 um  
   1.60 GeV   1.183E+02  1.664E-01   74.63 um     1.93 um     1.13 um  
   1.70 GeV   1.176E+02  1.580E-01   78.28 um     2.00 um     1.14 um  
   1.80 GeV   1.169E+02  1.504E-01   81.95 um     2.07 um     1.15 um  
   2.00 GeV   1.154E+02  1.375E-01   89.36 um     2.32 um     1.17 um  
   2.25 GeV   1.132E+02  1.242E-01   98.77 um     2.68 um     1.20 um  
   2.50 GeV   1.109E+02  1.134E-01  108.38 um     3.00 um     1.23 um  
   2.75 GeV   1.086E+02  1.045E-01  118.18 um     3.31 um     1.25 um  
   3.00 GeV   1.063E+02  9.690E-02  128.20 um     3.60 um     1.28 um  
   3.25 GeV   1.040E+02  9.041E-02  138.44 um     3.88 um     1.31 um  
   3.50 GeV   1.019E+02  8.478E-02  148.89 um     4.16 um     1.33 um  
   3.75 GeV   9.979E+01  7.984E-02  159.56 um     4.42 um     1.36 um  
   4.00 GeV   9.778E+01  7.548E-02  170.46 um     4.69 um     1.39 um  
   4.50 GeV   9.403E+01  6.811E-02  192.91 um     5.66 um     1.44 um  
   5.00 GeV   9.060E+01  6.212E-02  216.24 um     6.56 um     1.50 um  
   5.50 GeV   8.751E+01  5.714E-02  240.42 um     7.40 um     1.56 um  
   6.00 GeV   8.472E+01  5.295E-02  265.43 um     8.20 um     1.62 um  
   6.50 GeV   8.223E+01  4.935E-02  291.23 um     8.98 um     1.69 um  
   7.00 GeV   8.000E+01  4.624E-02  317.78 um     9.73 um     1.75 um  
   8.00 GeV   7.513E+01  4.110E-02  373.34 um    12.51 um     1.88 um  
   9.00 GeV   7.090E+01  3.705E-02  432.36 um    15.04 um     2.03 um  
  10.00 GeV   6.719E+01  3.375E-02  494.77 um    17.45 um     2.18 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3211E+01                 eV / Angstrom 
  2.3211E+02                keV / micron   
  2.3211E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  4.6637E+01                 eV / (1E15 atoms/cm2)
  2.4539E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
