 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_Si.txt

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   5.50 MeV   5.434E-02  3.007E-05  255.21 um    11.26 um    12.07 um  
   6.00 MeV   5.093E-02  2.785E-05  295.97 um    12.92 um    13.88 um  
   6.50 MeV   4.797E-02  2.595E-05  339.35 um    14.59 um    15.79 um  
   7.00 MeV   4.537E-02  2.431E-05  385.32 um    16.27 um    17.81 um  
   8.00 MeV   4.101E-02  2.160E-05  484.78 um    22.06 um    22.14 um  
   9.00 MeV   3.749E-02  1.945E-05  594.21 um    27.53 um    26.87 um  
  10.00 MeV   3.458E-02  1.772E-05  713.38 um    32.90 um    31.98 um  
  11.00 MeV   3.213E-02  1.628E-05  842.10 um    38.28 um    37.47 um  
  12.00 MeV   3.004E-02  1.506E-05  980.20 um    43.70 um    43.32 um  
  13.00 MeV   2.824E-02  1.402E-05    1.13 mm    49.20 um    49.53 um  
  14.00 MeV   2.666E-02  1.313E-05    1.28 mm    54.79 um    56.09 um  
  15.00 MeV   2.526E-02  1.234E-05    1.45 mm    60.47 um    63.00 um  
  16.00 MeV   2.402E-02  1.165E-05    1.62 mm    66.26 um    70.25 um  
  17.00 MeV   2.291E-02  1.103E-05    1.81 mm    72.16 um    77.84 um  
  18.00 MeV   2.190E-02  1.048E-05    2.00 mm    78.16 um    85.75 um  
  20.00 MeV   2.017E-02  9.538E-06    2.41 mm    99.21 um   102.56 um  
  22.50 MeV   1.839E-02  8.581E-06    2.96 mm   129.20 um   125.36 um  
  25.00 MeV   1.692E-02  7.806E-06    3.57 mm   157.87 um   150.09 um  
  27.50 MeV   1.570E-02  7.164E-06    4.23 mm   186.13 um   176.70 um  
  30.00 MeV   1.466E-02  6.624E-06    4.94 mm   214.37 um   205.13 um  
  32.50 MeV   1.377E-02  6.163E-06    5.69 mm   242.81 um   235.35 um  
  35.00 MeV   1.299E-02  5.764E-06    6.50 mm   271.57 um   267.31 um  
  37.50 MeV   1.231E-02  5.416E-06    7.34 mm   300.72 um   300.98 um  
  40.00 MeV   1.170E-02  5.109E-06    8.24 mm   330.30 um   336.32 um  
  45.00 MeV   1.067E-02  4.592E-06   10.16 mm   435.14 um   411.90 um  
  50.00 MeV   9.834E-03  4.174E-06   12.26 mm   534.36 um   493.79 um  
  55.00 MeV   9.135E-03  3.829E-06   14.52 mm   631.48 um   581.75 um  
  60.00 MeV   8.543E-03  3.538E-06   16.95 mm   728.05 um   675.58 um  
  65.00 MeV   8.036E-03  3.290E-06   19.54 mm   824.85 um   775.08 um  
  70.00 MeV   7.595E-03  3.076E-06   22.29 mm   922.31 um   880.07 um  
  80.00 MeV   6.868E-03  2.724E-06   28.24 mm     1.27 mm     1.11 mm  
  90.00 MeV   6.291E-03  2.447E-06   34.77 mm     1.59 mm     1.35 mm  
 100.00 MeV   5.823E-03  2.223E-06   41.87 mm     1.90 mm     1.62 mm  
 110.00 MeV   5.434E-03  2.038E-06   49.51 mm     2.21 mm     1.90 mm  
 120.00 MeV   5.106E-03  1.882E-06   57.66 mm     2.52 mm     2.20 mm  
 130.00 MeV   4.826E-03  1.749E-06   66.32 mm     2.83 mm     2.51 mm  
 140.00 MeV   4.584E-03  1.635E-06   75.45 mm     3.14 mm     2.84 mm  
 150.00 MeV   4.372E-03  1.535E-06   85.05 mm     3.45 mm     3.19 mm  
 160.00 MeV   4.186E-03  1.447E-06   95.09 mm     3.76 mm     3.55 mm  
 170.00 MeV   4.020E-03  1.369E-06  105.56 mm     4.08 mm     3.92 mm  
 180.00 MeV   3.872E-03  1.299E-06  116.45 mm     4.40 mm     4.30 mm  
 200.00 MeV   3.619E-03  1.179E-06  139.41 mm     5.53 mm     5.10 mm  
 225.00 MeV   3.364E-03  1.058E-06  170.20 mm     7.12 mm     6.16 mm  
 250.00 MeV   3.158E-03  9.608E-07  203.17 mm     8.59 mm     7.28 mm  
 275.00 MeV   2.989E-03  8.802E-07  238.14 mm    10.00 mm     8.45 mm  
 300.00 MeV   2.847E-03  8.126E-07  274.97 mm    11.37 mm     9.67 mm  
 325.00 MeV   2.728E-03  7.549E-07  313.53 mm    12.70 mm    10.93 mm  
 350.00 MeV   2.625E-03  7.051E-07  353.69 mm    14.01 mm    12.22 mm  
 375.00 MeV   2.536E-03  6.617E-07  395.34 mm    15.30 mm    13.54 mm  
 400.00 MeV   2.459E-03  6.235E-07  438.37 mm    16.58 mm    14.89 mm  
 450.00 MeV   2.330E-03  5.593E-07  528.19 mm    21.07 mm    17.66 mm  
 500.00 MeV   2.228E-03  5.075E-07  622.55 mm    25.13 mm    20.51 mm  
 550.00 MeV   2.145E-03  4.647E-07  720.89 mm    28.91 mm    23.41 mm  
 600.00 MeV   2.078E-03  4.288E-07  822.71 mm    32.50 mm    26.35 mm  
 650.00 MeV   2.021E-03  3.983E-07  927.63 mm    35.92 mm    29.31 mm  
 700.00 MeV   1.974E-03  3.719E-07    1.04 m     39.21 mm    32.29 mm  
 800.00 MeV   1.900E-03  3.287E-07    1.26 m     50.58 mm    38.28 mm  
 900.00 MeV   1.844E-03  2.947E-07    1.49 m     60.45 mm    44.25 mm  
   1.00 GeV   1.803E-03  2.673E-07    1.72 m     69.37 mm    50.17 mm  
   1.10 GeV   1.770E-03  2.447E-07    1.96 m     77.60 mm    56.02 mm  
   1.20 GeV   1.745E-03  2.257E-07    2.21 m     85.28 mm    61.78 mm  
   1.30 GeV   1.726E-03  2.095E-07    2.46 m     92.52 mm    67.44 mm  
   1.40 GeV   1.711E-03  1.956E-07    2.71 m     99.37 mm    73.00 mm  
   1.50 GeV   1.699E-03  1.835E-07    2.96 m    105.90 mm    78.46 mm  
   1.60 GeV   1.689E-03  1.728E-07    3.21 m    112.13 mm    83.81 mm  
   1.70 GeV   1.682E-03  1.633E-07    3.47 m    118.10 mm    89.05 mm  
   1.80 GeV   1.676E-03  1.549E-07    3.72 m    123.83 mm    94.19 mm  
   2.00 GeV   1.669E-03  1.404E-07    4.24 m    144.14 mm   104.16 mm  
   2.25 GeV   1.665E-03  1.258E-07    4.88 m    171.17 mm   116.08 mm  
   2.50 GeV   1.665E-03  1.141E-07    5.53 m    194.56 mm   127.44 mm  
   2.75 GeV   1.667E-03  1.044E-07    6.18 m    215.41 mm   138.27 mm  
   3.00 GeV   1.672E-03  9.624E-08    6.82 m    234.36 mm   148.63 mm  
   3.25 GeV   1.677E-03  8.932E-08    7.46 m    251.81 mm   158.56 mm  
   3.50 GeV   1.683E-03  8.335E-08    8.11 m    268.03 mm   168.08 mm  
