 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 28, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\140Xe_tTi.txt

 Ion = Xenon [54] , Mass = 140 amu

 Target Density =  2.2952E+00 g/cm3 = 5.4309E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    050.00    097.94   
      H      1    050.00    002.06   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.687E-01  4.144E+00     142 A        54 A        40 A   
  11.00 keV   2.819E-01  4.282E+00     150 A        56 A        42 A   
  12.00 keV   2.944E-01  4.409E+00     158 A        59 A        44 A   
  13.00 keV   3.064E-01  4.527E+00     165 A        61 A        46 A   
  14.00 keV   3.180E-01  4.636E+00     172 A        63 A        47 A   
  15.00 keV   3.291E-01  4.738E+00     179 A        65 A        49 A   
  16.00 keV   3.399E-01  4.834E+00     186 A        68 A        51 A   
  17.00 keV   3.504E-01  4.924E+00     192 A        70 A        52 A   
  18.00 keV   3.606E-01  5.009E+00     199 A        72 A        54 A   
  20.00 keV   3.801E-01  5.164E+00     212 A        76 A        57 A   
  22.50 keV   4.031E-01  5.337E+00     228 A        80 A        61 A   
  25.00 keV   4.249E-01  5.490E+00     243 A        85 A        64 A   
  27.50 keV   4.457E-01  5.628E+00     258 A        89 A        68 A   
  30.00 keV   4.655E-01  5.751E+00     272 A        93 A        71 A   
  32.50 keV   4.845E-01  5.863E+00     286 A        97 A        75 A   
  35.00 keV   5.028E-01  5.965E+00     300 A       101 A        78 A   
  37.50 keV   5.204E-01  6.058E+00     314 A       105 A        81 A   
  40.00 keV   5.375E-01  6.144E+00     328 A       109 A        84 A   
  45.00 keV   5.701E-01  6.297E+00     354 A       117 A        90 A   
